Title,Views,Watch Time,Shares
Register for Google Analytics for Beginners today!,10920,271.1559524926688,16
Welcome to Google Analytics for Beginners (3:19),9818,810.0896398184917,44
The Analytics account structure (4:56),7660,1501.9429790969928,15
Overview of Google Analytics data collection (2:39),7425,982.6742923076913,20
Navigating the full Audience report (5:30),4531,1395.2786824480345,9
Audience reports overview (5:21),4062,1231.6408369689996,5
Acquisition reports overview (5:32),3977,1315.0743573170712,4
Introduction to dashboards and shortcuts,3597,1009.1203498694525,5
How to set up Goals in Analytics (7:32),3565,1124.1858424528273,11
How to track a marketing campaign (3:35),3229,819.9497649456526,11
Tracking campaigns with URL Builder (4:37),2931,979.306656652359,6
Behavior reports overview (3:06),2848,833.9556324503311,5
How to use Analytics with Google Ads (6:30),2751,1138.5917896174883,7
Realtime Reports,2613,105.7581996161229,3
Understanding Dimensions and Metrics (0:51),2306,271.1422261306531,5
How Google Analytics collects data (5:39),2199,934.4582068429241,4
Google Analytics for Beginners Wrap-Up (3:42),2156,671.9365122377638,7
Categorizing data into users and sessions (6:06),1886,961.4997044673535,6
Register for Advanced Google Analytics today!,1716,125.76443178170143,3
Transforming data using configuration rules (5:12),1616,902.8663215031319,4
Installing the Google Tag Manager Container Snippet,1559,219.24715306122454,35
Storing data to generate reports quickly (5:44),1515,909.8323510848136,13
Managing multiple accounts or properties (5:26),1418,768.4276219008271,4
How to set up event tracking (5:00),1391,562.7212531418314,4
Creating a Google Ads Tag & Conversion Linker in Google Tag Manager,1352,230.9125053191491,6
How to set up advanced filters on views (6:38),1337,884.3128482905983,5
How to set up Custom Dimensions (6:10),1304,864.1620222717137,5
How to create a measurement plan (3:00),1293,536.9348888888886,4
Introduction to segmentation (5:30),1216,883.1954550408719,4
How to set up Custom Metrics (5:36),1212,725.4891502347424,4
Create a Google Analytics Page View Tag with Google Tag Manager,1164,246.28433136094674,8
Introduction to remarketing (4:37),1150,766.8714830508478,6
Google Tag Manager Overview,1112,184.9714267100979,34
Introduction to Google Data Studio,1102,200.13802413273007,10
[Data Studio] Getting started with data blending,974,73.32408090614891,3
Unifying app and web measurement,955,113.3798268292684,1
Learn About The New & Improved Google Tag Assistant,951,192.63073202614385,1
Introduction to Dynamic Remarketing (4:43),925,628.9448318042812,6
Using Multi-Channel Funnel reports for analysis (4:24),881,560.6084188790555,4
Welcome to Google Tag Manager Fundamentals,729,95.2908479087453,0
Report Like a Boss Using Google Data Studio,717,459.0196809338521,3
Analytics Academy Q&A Livestream with Krista Seiden,693,212.9176769230768,2
Course conclusion (2:16),691,285.444972762646,4
Google Tag Manager Fundamentals - Lesson 1.1 Course introduction,563,327.7861275510206,3
Introduction to Google Tag Manager,538,178.6385529411766,2
Google Tag Manager Fundamentals - Lesson 1.4 Tag Manager overview,537,579.8350384615384,2
Google Tag Manager Fundamentals - Lesson 1.3 Develop a tag implementation strategy,529,321.24458579881644,0
Introduction to Data Studio: Take Google’s free beginner course,492,74.05568127490038,3
Google Analytics In Real Life - Online Checkout,452,102.19124406779663,14
Filter settings in the segment creator,431,112.02719289340097,2
Calculated Fields in Data Studio,428,212.4959886792454,2
How to set up User ID (6:50),428,275.2650228758169,5
Register for Google Analytics for Power Users,400,77.09880232558136,2
How to set up internal Site Search (3:55),393,367.6052402234638,3
Google Marketing Platform Introduction,386,146.42719339622641,4
Register for Getting Started With Google Analytics 360,381,63.04982745098039,5
Google Tag Manager Fundamentals - Lesson 2.4 Understand the Data Layer,330,386.94543548387105,0
Google Analytics: First Steps,321,123.64300460829512,9
How to set up Enhanced Ecommerce (4:03),317,243.18660000000014,3
Best Practices: Asking questions in Google Analytics,315,90.63500000000005,0
Multi-Channel Funnels,304,179.25617127071817,3
How to set up Calculated Metrics (2:05),294,184.9194227642277,4
Introduction to Google Analytics for Power Users,279,123.85701599999997,1
How to set up Channel Groupings (3:53),277,291.9687891156461,4
Getting Started with Optimize,266,145.31208612440184,2
Introduction to Data Studio: Unit 1 Lesson 1,260,218.3504942528736,0
